TYPE=HEADER
|RECORD TYPE| |X(1)| 1,1 = 0.|
|CREST_DBV_CONSIDERATION_CRDC||9(14)v9(2)|3506,16|This should be set to the DBV Consideration Value where this differs from the DBV Value sought. Required for collateral items only. |
|CREST_CONCENTRATION_LIMIT_CRLM||X(1)|3522,1|Set to ‘Y’ if CREST Concentration Limits apply to this DBV item, otherwise set to ‘N’. |
|CREST_INCLUDE_RATE_CRIN||X(1)|3523,1|Set to ‘Y’ to include rebate rate for matching DBV on repo trades or ‘N’ to exclude. |
|CREST_MATCHING_CONSIDERATION_CRMT||9(14)v9(2)|3524,16|CREST Matching Consideration exclusive of Loan Margin. For Stock B/L’s only. |
|CREST_SUPPRESS_REVALUATION_CRRV||X(1)|3540,1|Set to ‘Y’ to suppress CREST revaluation otherwise set to ‘N’. |
|CREST_BARGAIN_CONDITIONS_CRCD||X(10)|3541,10|Set to 10 x Y/N for ten bargain conditions. |
|CREST_AUTO_RAISE_PRIORITY_CRRP||X(1)|3551,1|Set to ‘Y’ for Auto Raise Priority, else ‘N’. If ‘Y’, uses default counterparty open and term priorities. |
|CREST_NEW_PRIORITY_CRNP||9(2)|3552,2|New Priority for Crest Raise Priority, range 0 to 90. Ignored if null and ‘N’ to Auto Raise Priority. |
|NUMBER_OF_SPLIT_RECORDS_NOSP||9(5)|3554,5|The number of Split (type 5) records to follow. Zero if not applicable. |
|AMENDMENT_CHANGE_UPDATE_FLAG_AMUF||X(1)|3559,1|Set to ‘Y’ if blank fields present for a trade amendment (Status=A) are to be re-calculated or re-defaulted. Any redefaulted values will be from the Counterparty Database and not from the trade itself. If the amendment is for a settled trade, and there is no default available from the counterparty, then either blank will be used or the upload will fail if the field cannot be blank for a settled trade, e.g. Dealer ID. |
|CANCEL_PENDING_MARK_CNPM||X(1)|3560,1|Set to ‘Y’ for new return if Pending Marks are to be cancelled if present on a trade when a New Return is posted. |
|SUPPRESS_CONFIRM_INSTRUCTIONS_SPIN||X(1)|3561,1|May be C, I, B or null. This will suppress the generation of Confirms (C) or Security Settlement Instructions (I) or Both (B) for trades and collateral items and returns. These items need to be set as either Auto Authorised or Auto Settled. |
|MANDATORY_OWN_CONTRACT_REFERENCE_OCMD||X(1)|3562,1|Set to ‘Y’ if the Own Contract Reference is to be mandatory for new trades. |
|US_REPO_ACCRUAL_TYPE_DRAT||X(1)|3563,1|M-Marks, R-Returns or B-Both. Only applicable to trade amendments on outstanding trades. |
|TAXABLE_FLAG_TAXF||X(1)|3564,1|Set to ‘Y’ if the trade is subject to free tax. |
|MATCHED_INVESTMENT_DEFAULT_CODE_MIVD||X(6)|3565,6|Enter the default Vehicle Code. For Lenders Modules with Cash Management. |
|AUTHORISED_SECURITY_CANCELS_AUSX||X(1)|3571,1|A-Authorise Cancellation, R-Remove Cancel Message. This field should only be populated for amendments, updates or cancellations of trades or returns. This is only applicable to Auto Authorise and Auto Bulked transactions. |
|MINIMUM_FEE_TYPE_MFTY||X(1)|3572,1|Minimum Fee Type for new/amended trades, to override any counterparty default. B-Balance, F-Flat Charge or V-Loan Value |
|MINIMUM_FEE_VALUE_MFVU||9(7)v9(2)|3573,9|Minimum Fee Value as an override to the counterparty default for the Flat Charge or Loan Value Minimum Fee Types for new/amended trades. |
|MINIMUM_FEE_VALUE_CURRENCY_MFVC||X(3)|3582,3|Minimum Fee Value currency as an override to the counterparty default for the Flat Charge or Loan Value Minimum Fee Types for new/amended trades. |
|PROHIBIT_DUPLICATE_OWN_CONTRACT_REFS_PDOC||X(1)|3585,1|Set to ‘Y’ to disallow duplicate Own Contract References for new/ amended trades. Null is taken as ‘N’ to allow duplicate Own Contract References. |
|DBV_CLASS_GROUP_CODE_DBVG||X(3)|3586,3|Only relevant if Own Cpty Security Clearer instructions use a CREST (type 14) Agency Profile code. Item must exist on the DBVGRP file. Mandatory if CREST DBV Group on Collateral parameter set in CREST parameters. |
|LENDER_ALLOCATION_OVERRIDE_REASON_CODE_AORC||X(3)|3589,3|For use with the Lenders Module only for new trades or reallocations with manual fund allocation. Not mandatory but if populated will be validated against System Control, Control Files Maintenance, Allocation Override Reason Codes. |
|BULK_CASH_POOL_EXTENDED_REFERENCE_BCPX||X(3)|3592,3|Extended reference to be used when updating the multiple bulk cash pool for this counterparty, borrow/loan and currency on a settlement of a trade or return. Leave null to update the main bulk cash pool. |
|COLLATERAL_MARGIN_CMGN||9(3)v9(2)|3595,5|Non-Cash Collateral Margin percentage for non-cash trades. If blank then it will be calculated from the counterparty defaults. This cannot be used for a cash pool trade, as the cash pool value is calculated from the cash pool margin on the counterparty, if no cash pool value is supplied in the record. |
|EXTERNAL_USER_ID_EXUD||X(10)|3600,10|If populated it will be used as the activity user id for the transaction in place of the Batch User Id. If a new/amended trade and the Dealer Id is blank then this field will be used as the Dealer Id if populated. |
|INVALID_CLEARER_CODE_OVERRIDE_INDICATOR_ICLO||X(1)|3610,1|If set to 'Y' it will allow security and cash clearer codes that are not valid in Global One to be loaded for trades and returns for both own counterparty and counterparty. Blank or 'N' will mean that only valid clearer codes may be uploaded. |
|WARNING_OVERRIDE_INDICATOR_WAOV||X(1)|3611,1|If set to ‘Y’ then any warnings will be treated as errors, and cause rejections. |
|MINIMUM_QUANTITY_MINQ||9(12)v9(2)|3612,14|Minimum quantity. Only applicable to new trades. |
|ROUNDING_QUANTITY_RNDQ||9(12)v9(2)|3626,14|Rounding quantity. Used in conjunction with Minimum Quantity. |
|LENDER_SETTLEMENT_ID_LNDI||X(12)|3640,12|Lender Settlement Identifier for matching with the trade’s first location code. Used for AutoBorrows only. |
|ORIGINAL_TERM_DATE_RRTM||X(8)|3652,8|Original Term Date for non-Dollar Repo Rollover. This will allow the term date on a term repo to be amended at the same time as the repo rollover is processed. |
|LENDER_SPECIAL_LOAN_INDICATOR_LNSP||X(1)|3660,1|Set to ‘Y’ if this lender trade is denoted as a special loan and is not to be included in the calculation of fund credits. |
|LENDER_CUSTODY_BANK_CODE_LCBK||X(3)|3661,3|For user of the lenders module and with Dividends from Funds switched on. Will be used to select the availability for a specific Custody Bank Code in conjunction with the Dividend percentages for availability only if dividend percentages are blank. |
|LENDER_CUSTODY_BANK_CROSS_REFERENCE_LCBX||X(10)|3664,10|Custody Bank Cross Reference |
|LENDER_LOCATION_CODE_LLOC||X(3)|3674,3|For user of the lenders module and with Dividends from Funds switched on. Will be used to select the availability for a specific Location Code in conjunction with the Dividend percentages. Only used if dividend percentages are blank. |
|LENDER_LOCATION_CROSS_REFERENCE_LLOX||X(10)|3677,10|Location Cross Reference. |
|ORIGINAL_CURRENT_FACE_INDICATOR_FOR_MORTGAGE_BACK_SECURITIES_MBFT||X(1)|3687,1|‘O’ for Original or ‘C’ for Current face indicator for quantities on MBS securities. This flag will be used to determine whether the upload quantities are original or current face on trades and returns. If this is not populated then the default of ‘O’ for original face is used for an MBS security. |
|SECURITY_SETTLEMENT_MODE_OVERRIDE_DSMD||X(1)|3688,1|‘Y’ to override the Security Mode default using the mode from the first occurrence of the country of issue and the clearer code on the Counterparty Delivery Instructions. If a mode is not found then ‘ALL’ will be substituted for the country of security. This flag will only be used if the Security Settlement Mode is not included in the file. |
|CASH_SETTLEMENT_MODE_OVERRIDE_DCMD||X(1)|3689,1|‘Y’ to override the Cash Mode default using the mode from the first occurrence of the currency and the clearer code on the Counterparty Cash Instructions. If a mode is not found then the trade is rejected as ‘ALL’ is not relevant for the currency on cash instructions. |
|OWN_CASH_AGENCY_CODE_OCAG||X(6)|3690,6|Own Counterparty Cash Clearer Agency Code |
|OWN_SECURITY_AGENCY_CODE_OSAG||X(6)|3696,6|Own Counterparty Security Clearer Agency Code |
|COUNTERPARTY_CASH_AGENCY_CODE_CCAG||X(6)|3702,6|Counterparty Cash Clearer Agency Code |
|COUNTERPARTY_SECURITY_AGENCY_CODE_CSAG||X(6)|3708,6|Counterparty Security Clearer Agency Code |
|REPO_RETURN_OWN_CASH_AGENCY_CODE_ROCG||X(6)|3714,6|Repo Return Own Counterparty Cash Clearer Agency Code |
|REPO_RETURN_OWN_SECURITY_AGENCY_CODE_ROSG||X(6)|3720,6|Repo Return Own Counterparty Security Clearer Agency Code |
|REPO_RETURN_COUNTERPARTY_CASH_AGENCY_CODE_RCCG||X(6)|3726,6|Repo Return Counterparty Cash Clearer Agency Code |
|REPO_RETURN_COUNTERPARTY_SECURITY_AGENCY_CODE_RCSG||X(6)|3732,6|Repo Return Counterparty Security Clearer Agency Code |
|PROFIT_CENTRE_CODE_LPCC||X(1)|3738,1|Used for updating the Loanet Profit Centre Code within GOLIM |
|CREST_TRANSACTION_NUMBER_CTRA||X(16)|3739,16|CREST Transaction Number. Populated from CREST processing wherever the transaction is passed to the Trade Upload. Stored in ITXN<54>. |
|SECURITY_BULKING_LEVEL_SBKL||X(1)|3755,1|Indicates the level at which security bulks are to be created.  ‘C’ = Counterparty level ‘M’ = Cpty Major level ‘R’ = Cpty Relationship (General) level Null value means ‘M’. |
|EXTENDED_NET_DIVIDEND_PERCENTAGE_EDIV||9(3)v9(6)|3766,9|Between zero and 999999999. Will be used in preference to non-Extended Dividend percentage if populated. May be null. |
|EXTENDED_OVERSEAS_TAX_PERCENTAGE_EOVR||9(3)v9(6)|3775,9|Between zero and 999999999. Will be used in preference to non-Extended Overseas Tax percentage if populated. May be null.. |
|EXTENDED_DOMESTIC_TAX_PERCENTAGE_EDOM||9(3)v9(6)|3784,9|Between zero and 999999999. Will be used in preference to non-Extended Domestic Tax percentage if populated. May be null. |

TYPE=FUND DETAIL
|RECORD_TYPE||X(1)|1,1|= 2. For new fund level trades, returns and collateral items, and for fund reallocations. Cost centre re-allocations are not possible here. |
|RE_ALLOCATIONS_2REA||X(1)|2,1|1-Re-Allocate From, 2-Re-Allocate To, Blank if new trade or return or amended return. The Lender Module Trade flag must also be populated. |
|FUND_CODE_2FND||X(6)|3,6| |
|FUND_CROSS_REFERENCE_2FXR||X(10)|9,10| |
|FUND_LOCATION_2LOC||X(3)|19,3| |
|FUND_LOCATION_CROSS_REFERENCE_2LXR||X(10)|22,10| |
|FUND_QUANTITY_2QTY||S9(11)v9(2)|32,14|See note 3. |
|FUND_VALUE_2VAL||S9(11)v9(2)|46,14|See note 3. |
|FILLER||X(3734)|60,3734| |

TYPE=COST CENTRE DETAIL
|RECORD_TYPE||X(1)|1,1|= 3. For Cost Centre level trades and returns. |
|COST_CENTRE_CODE|3CST|X(3)|2,3| |
|COST_CENTRE_QUANTITY|3QTY|S9(11)v9(2)|5,14|See note 3. |
|COST_CENTRE_VALUE|3VAL|S9(11)v9(2)|19,14|See note 3. |
|INTERCOMPANY_DATABASE_1|3ID1|X(20)|33,20| |
|INTERCOMPANY_COST_CENTRE_CODE_1|3IC1|X(3)|53,3| |
|INTERCOMPANY_DATABASE_2|3ID2|X(20)|56,20| |
|INTERCOMPANY_COST_CENTRE_CODE_2|3IC2|X(3)|76,3| |
|INTERCOMPANY_DATABASE_3|3ID3|X(20)|79,20| |
|INTERCOMPANY_COST_CENTRE_CODE_3|3IC3|X(3)|99,3| |
|INTERCOMPANY_DATABASE_4|3ID4|X(20)|102,20| |
|INTERCOMPANY_COST_CENTRE_CODE_4|3IC4|X(3)|122,3| RE-ALLOCATIONS 3REA X(1) 125, 1 1-Re-Allocate From, 2-Re-Allocate To, Blank if new trade or return or amended return. |
|FILLER||X(3668)|126,3668| |

TYPE=USER DEFINED FIELD DETAIL
|RECORD_TYPE||X(1)|1,1|= 4. For loading user defined fields onto a new trade or collateral item. |
|USER_FIELD_NUMBER|4UFN|X(3)|2,3|Position of the User Defined field as held on the Systems Parameter file in the database relevant to the trade or collateral item. |
|USER_FIELD_VALUE|4UFV|X(20)|5,20|The value provided here should match the format type of the field number specified in the previous position above. The format details will be held on the User Defined field table populated in the System Parameters file. |
|FILLER||X(3769)|25,3769| |

TYPE=SPLIT DETAIL
|RECORD_TYPE||X(1)|1,1|= 5 |
|SPLIT_QUANTITY|5QTY|9(12)v9(2)|2,14|Quantity for the new trade. |
|SPLIT_LOAN_PRICE|5PRC|9(10)v9(7)|16,17|Loan Price for the new trade. |
|SPLIT_LOAN_VALUE|5VAL|9(12)v9(2)|33,14|Loan Value for the new trade. |
|SPLIT_PRIORITY|5PRY|9(2)|47,2|CREST Priority for the new trade between 0 and 90. If null, defaulted from Counterparty Database open and term priorities. |
|SPLIT_RETURN_DUE_DATE|5RDD|9(8)|49,8|CCYYMMDD. CREST Return Due Date for the created pending return for the new trade. |
|FILLER||X(3737)|57,3737| |
|RECORD_TYPE||X(1)|1,1|= 6. For loading additional (other) fields onto trades or collateral items. |
|ADDITIONAL_OTHER_FIELD_VALUE|6A1|X(1000)|2,1000|The values here will be the additional (F6-other) fields that are available in Trade/Collateral input from the F4More screen.  Up to 50 additional fields have been allowed for, each additional field may be up to 20 characters long. Therefore when populating this record they must be set in 20 character blocks. Please see note 2 at the end of the layout for further details. |
|FILLER||X(2792)|1002,2792| |

TYPE=FOOTER
|RECORD_TYPE||X(1)|1,1|= 9. |
|RECORD_COUNT||9(10)|2,10|Please see notes at the start of the layout. This was changed from 6 to 10 characters in version 6.7. |
|FILLER||X(3781)|12,3781| |
